,"Date,""Time"",""Millisecond"",""32-bit Float""",Possivel troca,Amostra,Date,Time,Millisecond,32-bit Float,00:10:00,Peso (g),Diff Peso,Peso padrão,Diff, 
0,"2025/11/27,""16:40:11"",""550"",""285.2000""",,1.0,2025-11-27,16:40:11,550.0,2852000.0,,285.2,,259.0,1.101158301,
1,"2025/11/27,""16:40:12"",""570"",""286.4000""",Não,2.0,2025-11-27,16:40:12,570.0,2864000.0,00:00:01,286.4,1.2,259.0,1.105791506,
2,"2025/11/27,""16:40:13"",""980"",""287.1000""",Não,3.0,2025-11-27,16:40:13,980.0,2871000.0,00:00:01,287.1,0.7,259.0,1.108494208,
3,"2025/11/27,""16:40:35"",""810"",""287.6000""",Não,4.0,2025-11-27,16:40:35,810.0,2876000.0,00:00:22,287.6,0.5,259.0,1.11042471,
4,"2025/11/27,""16:40:37"",""760"",""287.3000""",Não,5.0,2025-11-27,16:40:37,760.0,2873000.0,00:00:02,287.3,-0.3,259.0,1.109266409,
5,"2025/11/27,""16:40:39"",""760"",""285.7000""",Não,6.0,2025-11-27,16:40:39,760.0,2857000.0,00:00:02,285.7,-1.6,259.0,1.103088803,
6,"2025/11/27,""16:40:41"",""830"",""285.0000""",Não,7.0,2025-11-27,16:40:41,830.0,2850000.0,00:00:02,285.0,-0.7,259.0,1.1003861,
7,"2025/11/27,""16:40:43"",""800"",""285.7000""",Não,8.0,2025-11-27,16:40:43,800.0,2857000.0,00:00:02,285.7,0.7,259.0,1.103088803,
8,"2025/11/27,""16:40:45"",""680"",""288.0000""",Não,9.0,2025-11-27,16:40:45,680.0,2880000.0,00:00:02,288.0,2.3,259.0,1.111969112,
9,"2025/11/27,""16:40:47"",""750"",""289.0000""",Não,10.0,2025-11-27,16:40:47,750.0,2890000.0,00:00:02,289.0,1,259.0,1.115830116,
